_id,Ngày,Quốc gia,Thành phố,Phân loại,Count,Min,Max,Meidan,Variance
1203,2020-11-25T00:00:00,VN,Hạ Long,pressure,8,1001.3,1005.7,1003.3,17.34
1204,2020-08-20T00:00:00,VN,Hồ Chí Minh,humidity,24,55,100,78,2005.85
1205,2020-12-13T00:00:00,VN,Hạ Long,pressure,7,996.3,999.4,997.8,10.88
1206,2020-03-12T00:00:00,VN,Hồ Chí Minh,humidity,24,38,83,57,2098.33
1207,2020-06-01T00:00:00,VN,Hồ Chí Minh,humidity,24,38,97,62,4043.97
1208,2020-04-20T00:00:00,VN,Hồ Chí Minh,humidity,24,45,83,74,2188.22
1209,2020-11-05T00:00:00,VN,Hồ Chí Minh,humidity,24,44,79,68,1717.54
1210,2020-05-23T00:00:00,VN,Hồ Chí Minh,humidity,24,57,88,84,771.05
1211,2020-01-15T00:00:00,VN,Hạ Long,pressure,8,998.7,1002.9,1000.3,18.26
1212,2020-08-23T00:00:00,VN,Hồ Chí Minh,humidity,24,50.5,91,78,1582.54
1213,2020-01-20T00:00:00,VN,Hạ Long,pressure,5,1005.5,1008.5,1006.2,13.33
1214,2020-01-21T00:00:00,VN,Hạ Long,pressure,6,1003.6,1008.1,1005.3,23.56
1215,2020-01-04T00:00:00,VN,Hạ Long,pressure,7,996.6,1001.7,999,29.09
1216,2020-12-14T00:00:00,VN,Hạ Long,pressure,8,999,1005,1000.6,40.82
1217,2020-12-25T00:00:00,VN,Hạ Long,pressure,8,1002,1006.8,1003.6,21.11
1218,2021-01-15T00:00:00,VN,Hạ Long,pressure,8,999.7,1004.1,1001.5,19.45
1219,2020-04-06T00:00:00,VN,Hạ Long,pressure,8,988.6,992.8,991.2,20.77
1220,2020-08-07T00:00:00,VN,Hạ Long,pressure,8,990.1,993.7,991.2,18.89
1221,2020-07-13T00:00:00,VN,Hạ Long,pressure,8,991.2,994,992,8.49
1222,2020-12-10T00:00:00,VN,Hồ Chí Minh,humidity,24,68,100,94,1447.6
1223,2020-09-09T00:00:00,VN,Hạ Long,pressure,8,993,997.9,995.5,28.28
